Year ,CountryName,Population,Life_Expectancy ,GDP_Per_Capita,Perc_Urban_Population,Aid_Per_Capita,Agriculture,Industry,Fertility_rate,Adolescent_fertility_rate,Mortality_rate_infant,Trade_Balance,Capital_Investment,Household_consumption,Economic_growth,Domestic_credit_to_private_sector
1960,Senegal,3206749,38.223,312.9937437,23,0.040539498,22.11360101,11.96612144,6.996,194.95,128.3,0.025,,78.13,,11.72691872
1961,Senegal,3295278,38.38,321.3614346,23.645,0.072831486,22.48780215,12.76233096,7.038,195.114,128.2,0.0243,,78.68,2.99,11.26578878
1962,Senegal,3386806,38.462,320.501255,24.303,3.791182651,21.40886224,13.23578499,7.079,195.278,128.3,0.0219,,80.37,-0.14,12.89684089
1963,Senegal,3481654,38.477,322.3007333,24.973,3.211117564,22.1202708,12.8530146,7.12,194.6532,128.6,-0.0039,,79.91,1.86,12.4644192
1964,Senegal,3580239,38.449,332.0813409,25.657,16.04920763,22.5324316,13.44691272,7.157,194.0284,128.8,-0.0076,,79.93,3.88,12.07262131
1965,Senegal,3682876,38.407,328.5634369,26.351,12.90295966,23.72721059,13.85696927,7.19,193.4036,128.9,0.0056,5.1,77.36,1.33,11.64774837
1966,Senegal,3789383,38.386,329.0531397,27.057,11.56916579,24.25433879,13.97725262,7.217,192.7788,128.6,0.0043,6.54,76.86,2.88,10.05750325
1967,Senegal,3899644,38.424,319.6396795,27.776,12.32676616,22.21161059,14.92090552,7.237,192.154,128.2,-0.0129,9.84,75.28,-1.22,8.831334111
1968,Senegal,4014103,38.558,326.1961216,28.507,12.26425917,24.17999492,14.16763185,7.251,190.6402,127.7,-0.0534,9.62,71.4,6.29,10.06671256
1969,Senegal,4133322,38.816,301.2673116,29.247,13.36455318,21.90931443,15.68051056,7.259,189.1264,126.7,-0.0609,11.63,71.07,-6.55,10.72990848
1970,Senegal,4257505,39.227,304.7343053,30,9.984720704,22.52420663,15.45458187,7.262,187.6126,125.4,-0.0295,13.99,66.33,8.56,10.47245114
1971,Senegal,4387540,39.814,305.3074898,30.72,12.13436269,19.60948882,15.82101967,7.261,186.0988,123.6,-0.0531,15.15,67.65,-0.14,10.79507247
1972,Senegal,4522893,40.562,358.3673718,31.451,10.6568961,23.04571956,15.21532638,7.258,184.585,121.4,-0.0279,15.13,65.11,6.38,11.56962325
1973,Senegal,4660725,41.445,399.8087097,32.189,16.83000015,21.14203895,15.04823159,7.255,183.0336,118.7,-0.0773,16.55,67.93,-5.58,15.28682917
1974,Senegal,4797187,42.442,437.6158257,32.937,28.80021223,22.30618565,17.86936426,7.252,181.4822,115.6,-0.0412,20.53,62.38,4.2,17.74132518
1975,Senegal,4929846,43.521,574.1332295,33.693,28.27471678,28.27915253,17.21998131,7.252,179.9308,112.2,-0.036,16.63,65.18,7.54,17.62973687
